年份,月份,水費,電費
2020,1,441.79,970.92
2020,2,570.69,768.19
2020,3,571.17,997.47
2020,4,448.46,1055.59
2020,5,266.48,865.67
2020,6,419.53,795.15
2020,7,279.71,1365.49
2020,8,228.45,583.02
2020,9,341.77,1197.87
2020,10,543.85,551.86
2020,11,437.01,986.44
2020,12,561.24,909.32
2021,1,353.79,1327.2
2021,2,382.73,625.69
2021,3,513.27,773.6
2021,4,492.12,1254.98
2021,5,287.01,1235.47
2021,6,479.45,992.6
2021,7,530.82,1296.41
2021,8,441.86,1047.41
2021,9,517.15,647.65
2021,10,524.42,1180.29
2021,11,216.64,515.5
2021,12,375.96,622.54
2022,1,220.42,1021.12
2022,2,302.61,1330.4
2022,3,479.03,1213.36
2022,4,550.9,1474.54
2022,5,462.3,1059.82
2022,6,254.82,535.28
2022,7,237.8,634.87
2022,8,352.83,1438.12
2022,9,250.58,1001.04
2022,10,583.46,857.67
2022,11,541.17,1495.7
2022,12,467.64,982.92
2023,1,376.15,1254.51
2023,2,214.43,1453.26
2023,3,371.77,591.47
2023,4,202.67,1122.1
2023,5,318.97,1255.86
2023,6,249.97,513.22
2023,7,347.25,580.24
2023,8,523.88,811.42
2023,9,436.73,1452.18
2023,10,340.78,1026.0
2023,11,574.8,1269.76
2023,12,502.64,668.98
2024,1,299.55,850.12
2024,2,478.64,1398.09
2024,3,264.08,723.76
2024,4,223.52,1446.18
2024,5,399.78,1413.78
2024,6,226.26,1471.95
2024,7,415.8,1408.92
2024,8,375.02,620.16
2024,9,243.89,551.45
2024,10,578.44,956.77
2024,11,301.85,757.84
2024,12,230.5,1152.13
